MAL_ID,Name,Score,English.name,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Fantasy,Game,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,RatingG - All Ages,RatingPG - Children,RatingPG-13 - Teens 13 or older,RatingR - 17+ (violence & profanity),TypeMovie,TypeMusic,TypeONA,TypeOVA,TypeSpecial,TypeTV,Year_Premiered,Source4-koma manga,SourceBook,SourceCard game,SourceDigital manga,SourceGame,SourceLight novel,SourceManga,SourceMusic,SourceNovel,SourceOriginal,SourceOther,SourcePicture book,SourceRadio,SourceUnknown,SourceVisual novel,SourceWeb manga
1,Cowboy Bebop,8.78,Cowboy Bebop,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Cowboy Bebop: Tengoku no Tobira,8.39,Cowboy Bebop:The Movie,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Trigun,8.24,Trigun,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Witch Hunter Robin,7.27,Witch Hunter Robin,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Bouken Ou Beet,6.98,Beet the Vandel Buster,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Eyeshield 21,7.95,Unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Hachimitsu to Clover,8.06,Honey and Clover,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Hungry Heart: Wild Striker,7.59,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Initial D Fourth Stage,8.15,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,Naruto,7.91,Naruto,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,One Piece,8.52,One Piece,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Tennis no Ouji-sama,7.9,The Prince of Tennis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Ring ni Kakero 1,6.38,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,School Rumble,7.94,School Rumble,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,Trinity Blood,7.32,Trinity Blood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
